Text,Author,Likes,Date
Jennie,Artuki,0,2023-07-29T10:12:33Z
Beautiful and pretty,nineteens kitsch,0,2023-07-29T07:56:41Z
You are so beautiful Jennie,nineteens kitsch,0,2023-07-29T07:55:08Z
Queen Jennie,nineteens kitsch,0,2023-07-29T07:55:01Z
I LOVE YOUUU😭,Sarah Sumigcay,0,2023-07-29T05:53:59Z
Y esa linda ❤😍,Kiariii😻,0,2023-07-28T22:06:37Z
2M SOON,tashxia,0,2023-07-28T18:15:18Z
posing for pics is so embarrassing omg she's a pro,Ana,0,2023-07-28T17:24:51Z
Bellísima Jennie 💖,Lorena OS,0,2023-07-28T15:03:49Z
제니는 성공했다❤,♡I'm Rujin♡,0,2023-07-28T11:32:52Z
Raise your hand if you will always support Jennie 🤚🤚,Blackblink_Taekookie_btsarmy,2,2023-07-28T11:04:43Z
Bu kıza bayılıyorummm,BPseviyomc,0,2023-07-28T11:01:26Z
JENNIE 💙 I LOVE YOU  I LOVE YOU IN EVERY UNIVERSE you will always be the first 💙,⊰ bidmo ⊱,0,2023-07-28T09:53:57Z
"i will always support you jennie, best ace❤️‍🩹",lavinia,0,2023-07-28T09:31:16Z
LOVE U SOOOOOO MUCH💓💓💓🥺,lavinia,0,2023-07-28T09:30:52Z
Hai,Nono Tyo,0,2023-07-28T09:29:07Z
🎉🎉🎉,Evil,0,2023-07-28T08:47:01Z
Jennierubyjane,Devis Miller,0,2023-07-29T10:18:47Z
Jennieeee,Artugi,0,2023-07-28T08:33:03Z
Have a good day ahead everyone,hello,1,2023-07-28T04:24:18Z
Nini you are love,hello,1,2023-07-28T04:23:58Z
Sweetie you collections is fabulous. Totally Loved it.,hello,1,2023-07-28T04:23:28Z
"You are a total sweetheart,  the kindest girl",hello,1,2023-07-28T04:22:47Z
"I love the confidence,  the way you carry yourself",hello,1,2023-07-28T04:22:20Z
You havea beautiful heart as well as smile.  Keep smiling,hello,1,2023-07-28T04:21:55Z
You look awesome as always,hello,1,2023-07-28T04:21:34Z
Jennie and Calvin Klein the coolest,hello,1,2023-07-28T04:21:22Z
We are missing you as well as your vlogs so much,hello,1,2023-07-28T04:21:01Z
Good morning sweetie,hello,1,2023-07-28T04:20:46Z
"Our Lovely Jennie, We love you and always support you in what you're doing. You, personally are one of the persons in my life that made a real impact and who gives me the confidence I need. You are strong, brave, beautiful, and independent. Continue being the kind and loving person you are and don`t change for anyone or anything. Make sure you eat ok😍😍😍💗💗💗💗💗💗💗💗💗💗💗💗💗",Mmmmmmhh,3,2023-07-28T02:53:44Z
Love you Jennie,hello,0,2023-07-28T04:20:16Z
Hola jennie if you can put subtitles in spanish please ❤❤🇲🇽🇲🇽,karito._. ggʕ´•ᴥ•`ʔ,0,2023-07-28T01:37:36Z
TEEEE AMOOOO NINIII,MarielMin,0,2023-07-27T23:49:49Z
"Keep your best wishes, close to your heart and watch what happens.",VSV,0,2023-07-27T13:22:18Z
The coolest girl Jennie,VSV,0,2023-07-27T13:22:02Z
I love your charming nature.,VSV,0,2023-07-27T13:21:39Z
"Hey sweetie, you are looking so amazing",VSV,0,2023-07-27T13:20:55Z
Hi guys don’t forget to stream solo to 1B on YouTube ! Let’s make Nini proud 🌸,Lilou,1,2023-07-27T11:36:46Z
I am fan of Jennie,Shanta Kundu,1,2023-07-27T07:16:13Z
welcome JENNIE TO VIETNAM,Châm Anh,1,2023-07-27T03:36:49Z
Why Calvin klein like hiring these korean girls... we want women with curves,Ellyson,0,2023-07-26T23:35:18Z
"𝚂𝚑𝚞𝚝 𝚞𝚙, 𝚗𝚊𝚛𝚌𝚒𝚜𝚜𝚒𝚝𝚒𝚌 𝚏𝚊𝚗",Wilhelmina Palma,0,2023-07-31T04:08:07Z
Wdgaf,tashxia,0,2023-07-28T18:16:42Z
I love you jennie ❤❤❤,ترس الضلام,0,2023-07-26T21:46:19Z
Keep smiling Love,VSV,0,2023-07-26T13:38:56Z
Loads love,VSV,0,2023-07-26T13:38:43Z
I love how you walk and talk.,VSV,0,2023-07-26T13:38:14Z
Thanks for posting your cute vlogs. They spread positivity.,VSV,0,2023-07-26T13:38:05Z
It's always a treat to see your vlogs . You don't know how much you and your vlogs brighten my day.,VSV,0,2023-07-26T13:37:52Z
Stay blessed Stay winning stay pretty,VSV,0,2023-07-26T13:37:42Z
I love how comfortable you are in your world.,VSV,0,2023-07-26T13:37:24Z
I love your vlogs,VSV,0,2023-07-26T13:36:12Z
Hello beautiful sunshine,VSV,0,2023-07-26T13:35:52Z
We love you jennie,nineteens kitsch,1,2023-07-26T13:07:00Z
Best girl,nineteens kitsch,1,2023-07-26T13:06:51Z
She's best,nineteens kitsch,1,2023-07-26T13:06:44Z
Queen jennie,nineteens kitsch,1,2023-07-26T13:06:40Z
Sending you loads of love and blessings,hello,1,2023-07-26T11:29:42Z
Amazing vlog as always.  Thank you love,hello,1,2023-07-26T11:29:31Z
Your team is amazing as well,hello,1,2023-07-26T11:29:16Z
My slayer Jennie. I love your vlogs so much.,hello,1,2023-07-26T11:28:57Z
We will always support you Jennie.  We are always there for you Queen Jennie,hello,1,2023-07-26T11:28:32Z
"You are so amazing,  Beautiful both from inside as well as outside",hello,1,2023-07-26T11:28:12Z
Jennie x Calvin klein best model with best girl,hello,1,2023-07-26T11:27:47Z
Hope you are doing amazing,hello,1,2023-07-26T11:26:43Z
How are you my girl,hello,1,2023-07-26T11:26:14Z
Hello precious love,hello,1,2023-07-26T11:26:06Z
I love  you  jennie you're  my best kpop idol in blackpink  you always  inspire  me  and the blinks  so please  don't  stop don't  overreact in hate comment   you are worth   than those hate comment  I  love you ❤❤❤❤,Mejang Caroline Atangana Ndengue,0,2023-07-26T09:21:18Z
Лучшая ❤️🥰 восхищаюсь тобой и горжусь ❤️❤️❤️❤️❤️,당신 때문에,0,2023-07-26T08:19:45Z
The jennie Ruby Jane,hello,0,2023-07-26T11:25:49Z
Orgulloso de ella,LucasBravo,1,2023-07-26T02:37:07Z
"Jennie looked gorgeous in this shoot and slayed her Calvin Klein shoot,  I wish to see more.",Blackpink Forever,2,2023-07-25T14:07:57Z
unnie why didn't you update this week??? I'm waiting for you 😖😖😢,Silviaaa 02,0,2023-07-25T10:27:16Z
This week her vlog will most probably will come.,VSV,0,2023-07-26T13:32:17Z
We love you Jennie💗💗💗,𝕄𝕒𝕪𝕒𝕣,0,2023-07-25T07:47:42Z
you are so amazing Ni Ni,Su Yadana,2,2023-07-24T16:59:37Z
jennie how can you be perfect like that,Su Yadana,2,2023-07-24T16:58:51Z
calvin klein Babe,Su Yadana,2,2023-07-24T16:57:44Z
Tu mérites tout le bonheur du monde ❤❤❤❤❤,BLAЭКРІЙК,2,2023-07-24T15:18:50Z
@hello yea,BLAЭКРІЙК,0,2023-07-26T11:28:51Z
Keep smiling,hello,0,2023-07-26T11:24:51Z
We love you so much,BLAЭКРІЙК,2,2023-07-24T15:18:35Z
I wish I can see you in my life,zoon khani,3,2023-07-24T14:02:32Z
爱你jen,Esmusssein1,1,2023-07-24T13:01:55Z
❤❤❤❤,yujine Candy,0,2023-07-24T12:46:51Z
We love you Jennie,hello,0,2023-07-26T11:24:33Z
"My sweet, cute,  pretty nini",hello,0,2023-07-24T11:36:21Z
Jennie and Calvin Klein is the iconic duo.,hello,0,2023-07-24T11:36:08Z
I love your vlogs.  Waiting for new one,hello,0,2023-07-24T11:35:39Z
We miss you.  Hope you are doing well.,hello,0,2023-07-24T11:35:19Z
May you all your wishes come true,hello,0,2023-07-24T11:34:56Z
May God protect you Jennie from all evil people and their evil intentions,hello,0,2023-07-24T11:34:46Z
May God bless you Jennie always.,hello,0,2023-07-24T11:34:26Z
Hello gorgeous Jennie,hello,0,2023-07-24T11:31:41Z
You are so stunning!!,Golden maknae ,1,2023-07-24T10:15:07Z
Jennie ahh I LOVE YOU ❤❤,🧸Hani🎀,1,2023-07-24T05:53:05Z
Jennie absolutely adorable,Koda Storm,1,2023-07-24T04:26:06Z
